"","Kecamatan","Kab.Kota","Kelas.Baik","Kelas.Rusak","Lab.Rusak.Ringan","Lab.Rusak","Perpus.Baik","Perpus.Rusak","Toilet.Guru.L.Baik","Toilet.Guru.L.Rusak","UKS.Baik","UKS.Rusak","Toilet.Guru.P.Baik","Toilet.Guru.P.Rusak","Toilet.Murid.L.Baik","Toilet.Murid.L.Rusak","Toilet.Murid.P.Baik","Toilet.Murid.P.Rusak"
"180","Kec. Tarogong Kaler ","Garut",3,7,1,1,0,1,2,2,2,2,2,2,2,2,2,2
"181","Kec. Tarogong Kidul ","Garut",158,60,3,3,5,1,6,4,6,4,6,4,6,4,6,4
"182","Kec. Cigedug ","Garut",21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"183","Kec. Sucinaraja ","Garut",19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"184","Kec. Haurgeulis ","Indramayu",7,21,2,2,2,0,1,1,1,1,1,1,1,1,1,1
"185","Kec. Kroya ","Indramayu",16,3,2,2,0,1,2,0,2,0,2,0,2,0,2,0
"186","Kec. Gabuswetan ","Indramayu",11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"187","Kec. Lelea ","Indramayu",9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"188","Kec. Bangodua ","Indramayu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","Kec. Widasari ","Indramayu",11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"190","Kec. Kertasemaya ","Indramayu",21,0,1,1,3,0,7,1,7,1,7,1,7,1,7,1
"191","Kec. Krangkeng ","Indramayu",41,0,0,0,3,0,1,1,1,1,1,1,1,1,1,1
"192","Kec. Karangampel ","Indramayu",20,0,0,0,2,0,5,1,5,1,5,1,5,1,5,1
"193","Kec. Juntinyuat ","Indramayu",34,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0
"194","Kec. Sliyeg ","Indramayu",34,0,0,0,2,0,2,1,2,1,2,1,2,1,2,1
"195","Kec. Jatibarang ","Indramayu",26,0,0,0,3,0,4,2,4,2,4,2,4,2,4,2
"196","Kec. Balongan ","Indramayu",9,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"197","Kec. Indramayu ","Indramayu",77,0,0,0,5,0,6,4,6,4,6,4,6,4,6,4
"198","Kec. Sindang ","Indramayu",55,0,0,0,5,0,3,1,3,1,3,1,3,1,3,1
"199","Kec. Lohbener ","Indramayu",30,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"200","Kec. Losarang ","Indramayu",18,11,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"201","Kec. Kandanghaur ","Indramayu",45,3,1,1,2,2,6,2,6,2,6,2,6,2,6,2
"202","Kec. Bongas ","Indramayu",13,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"203","Kec. Anjatan ","Indramayu",33,5,0,0,3,0,4,0,4,0,4,0,4,0,4,0
"204","Kec. Sukra ","Indramayu",13,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"205","Kec. Arahan ","Indramayu",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"206","Kec. Cantigi ","Indramayu",5,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"207","Kec. Gantar ","Indramayu",16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"208","Kec. Terisi ","Indramayu",38,9,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"209","Kec. Sukagumiwang ","Indramayu",34,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"210","Kec. Kedokan Bunder ","Indramayu",13,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"211","Kec. Pasekan ","Indramayu",4,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0
"212","Kec. Tukdana ","Indramayu",0,27,3,3,0,1,0,2,0,2,0,2,0,2,0,2
"213","Kec. Patrol ","Indramayu",6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"214","Kec. Sagalaherang ","Subang",8,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"215","Kec. Jalancagak ","Subang",89,0,0,0,7,0,5,1,5,1,5,1,5,1,5,1
"216","Kec. Cisalak ","Subang",16,0,0,0,3,0,1,1,1,1,1,1,1,1,1,1
"217","Kec. Tanjungsiang ","Subang",33,6,0,0,3,0,2,0,2,0,2,0,2,0,2,0
"218","Kec. Cijambe ","Subang",0,6,0,0,0,1,0,2,0,2,0,2,0,2,0,2
"219","Kec. Cibogo ","Subang",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220","Kec. Subang ","Subang",118,74,4,4,10,2,9,5,9,5,9,5,9,5,9,5
"221","Kec. Kalijati ","Subang",60,0,0,0,5,0,3,1,3,1,3,1,3,1,3,1
"222","Kec. Cipeundeuy ","Subang",15,0,0,0,1,0,5,1,5,1,5,1,5,1,5,1
"223","Kec. Pabuaran ","Subang",21,3,0,0,0,1,2,0,2,0,2,0,2,0,2,0
"224","Kec. Patokbeusi ","Subang",29,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"225","Kec. Purwadadi ","Subang",45,0,0,0,3,0,4,2,4,2,4,2,4,2,4,2
"226","Kec. Pagaden ","Subang",29,16,5,5,4,2,2,0,2,0,2,0,2,0,2,0
"227","Kec. Compreng ","Subang",8,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"228","Kec. Binong ","Subang",13,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0
"229","Kec. Ciasem ","Subang",62,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"230","Kec. Pamanukan ","Subang",42,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"231","Kec. Pusakanagara ","Subang",29,0,0,0,2,0,1,1,1,1,1,1,1,1,1,1
"232","Kec. Blanakan ","Subang",26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"233","Kec. Serangpanjang ","Subang",28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"234","Kec. Kasomalang ","Subang",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"235","Kec. Cimahi Selatan ","Cimahi",96,0,0,0,5,0,11,1,11,1,11,1,11,1,11,1
"236","Kec. Cimahi Tengah ","Cimahi",140,2,0,0,7,0,20,1,20,1,20,1,20,1,20,1
"237","Kec. Cimahi Utara ","Cimahi",56,0,0,0,4,0,11,1,11,1,11,1,11,1,11,1
"238","Kec. Cibeureum ","Tasikmalaya",81,0,0,0,2,0,4,0,4,0,4,0,4,0,4,0
"239","Kec. Tamansari ","Tasikmalaya",61,0,0,0,2,0,3,1,3,1,3,1,3,1,3,1
"240","Kec. Kawalu ","Tasikmalaya",36,0,0,0,3,0,4,2,4,2,4,2,4,2,4,2
