"","Kecamatan","Kab.Kota","Provinsi","Kelas.Baik","Kelas.Rusak","Lab.Baik","Lab.Rusak","Perpus.Baik","Perpus.Rusak","UKS.Baik","UKS.Rusak","Toilet.Baik","Toilet.Rusak"
"189","Kec. Widasari ","Indramayu","Jambi",11,0,0,0,1,0,0,0,0,0
"190","Kec. Kertasemaya ","Indramayu","Jambi",21,0,4,1,3,0,7,1,28,4
"191","Kec. Krangkeng ","Indramayu","Jambi",41,0,2,0,3,0,1,1,4,4
"192","Kec. Karangampel ","Indramayu","Jambi",20,0,3,0,2,0,5,1,20,4
"193","Kec. Juntinyuat ","Indramayu","Jambi",34,0,4,0,2,0,2,0,8,0
"194","Kec. Sliyeg ","Indramayu","Jambi",34,0,1,0,2,0,2,1,8,4
"195","Kec. Jatibarang ","Indramayu","Jambi",26,0,3,0,3,0,4,2,16,8
"196","Kec. Balongan ","Indramayu","Jambi",9,0,2,0,1,0,2,0,8,0
"197","Kec. Indramayu ","Indramayu","Jambi",77,0,14,0,5,0,6,4,24,16
"198","Kec. Sindang ","Indramayu","Jambi",55,0,8,0,5,0,3,1,12,4
"199","Kec. Lohbener ","Indramayu","Jambi",30,4,3,0,2,0,0,0,0,0
"200","Kec. Losarang ","Indramayu","Jambi",18,11,3,0,2,0,3,1,12,4
"201","Kec. Kandanghaur ","Indramayu","Jambi",45,3,8,1,2,2,6,2,24,8
"202","Kec. Bongas ","Indramayu","Jambi",13,0,2,0,1,0,2,0,8,0
"203","Kec. Anjatan ","Indramayu","Jambi",33,5,6,0,3,0,4,0,16,0
"204","Kec. Sukra ","Indramayu","Jambi",13,2,3,0,2,0,0,0,0,0
"205","Kec. Arahan ","Indramayu","Jambi",5,0,0,0,1,0,0,0,0,0
"206","Kec. Cantigi ","Indramayu","Jambi",5,0,2,0,1,0,2,0,8,0
"207","Kec. Gantar ","Indramayu","Jambi",16,0,1,0,1,0,0,0,0,0
"208","Kec. Terisi ","Indramayu","Jambi",38,9,2,0,1,1,1,1,4,4
"209","Kec. Sukagumiwang ","Indramayu","Jambi",34,0,3,0,1,0,2,0,8,0
"210","Kec. Kedokan Bunder ","Indramayu","Jambi",13,0,1,0,1,0,1,1,4,4
"211","Kec. Pasekan ","Indramayu","Jambi",4,0,1,1,1,0,1,0,4,0
"212","Kec. Tukdana ","Indramayu","Jambi",0,27,0,3,0,1,0,2,0,8
"213","Kec. Patrol ","Indramayu","Jambi",6,0,0,0,1,0,0,0,0,0
"214","Kec. Sagalaherang ","Subang","Jawa Barat",8,0,0,0,1,0,2,0,8,0
"215","Kec. Jalancagak ","Subang","Jawa Barat",89,0,13,0,7,0,5,1,20,4
"216","Kec. Cisalak ","Subang","Jawa Barat",16,0,1,0,3,0,1,1,4,4
"217","Kec. Tanjungsiang ","Subang","Jawa Barat",33,6,4,0,3,0,2,0,8,0
"218","Kec. Cijambe ","Subang","Jawa Barat",0,6,0,0,0,1,0,2,0,8
"219","Kec. Cibogo ","Subang","Jawa Barat",0,0,0,0,0,0,0,0,0,0
"220","Kec. Subang ","Subang","Jawa Barat",118,74,18,4,10,2,9,5,36,20
"221","Kec. Kalijati ","Subang","Jawa Barat",60,0,7,0,5,0,3,1,12,4
"222","Kec. Cipeundeuy ","Subang","Jawa Barat",15,0,2,0,1,0,5,1,20,4
"223","Kec. Pabuaran ","Subang","Jawa Barat",21,3,4,0,0,1,2,0,8,0
"224","Kec. Patokbeusi ","Subang","Jawa Barat",29,0,3,0,1,0,1,1,4,4
"225","Kec. Purwadadi ","Subang","Jawa Barat",45,0,3,0,3,0,4,2,16,8
"226","Kec. Pagaden ","Subang","Jawa Barat",29,16,1,5,4,2,2,0,8,0
"227","Kec. Compreng ","Subang","Jawa Barat",8,5,4,0,1,0,0,0,0,0
"228","Kec. Binong ","Subang","Jawa Barat",13,0,3,0,1,0,2,0,8,0
"229","Kec. Ciasem ","Subang","Jawa Barat",62,0,4,0,2,0,3,1,12,4
"230","Kec. Pamanukan ","Subang","Jawa Barat",42,0,5,0,2,0,3,1,12,4
"231","Kec. Pusakanagara ","Subang","Jawa Barat",29,0,3,0,2,0,1,1,4,4
"232","Kec. Blanakan ","Subang","Jawa Barat",26,0,3,0,1,0,0,0,0,0
"233","Kec. Serangpanjang ","Subang","Jawa Barat",28,0,2,0,1,0,0,0,0,0
"234","Kec. Kasomalang ","Subang","Jawa Barat",5,0,0,0,1,0,0,0,0,0
"235","Kec. Cimahi Selatan ","Cimahi","Jawa Barat",96,0,7,0,5,0,11,1,44,4
"236","Kec. Cimahi Tengah ","Cimahi","Jawa Barat",140,2,12,0,7,0,20,1,80,4
"237","Kec. Cimahi Utara ","Cimahi","Jawa Barat",56,0,8,0,4,0,11,1,44,4
"238","Kec. Cibeureum ","Tasikmalaya","Jawa Barat",81,0,5,0,2,0,4,0,16,0
"239","Kec. Tamansari ","Tasikmalaya","Jawa Barat",61,0,9,0,2,0,3,1,12,4
"240","Kec. Kawalu ","Tasikmalaya","Jawa Barat",36,0,10,0,3,0,4,2,16,8
"241","Kec. Mangkubumi ","Tasikmalaya","Jawa Barat",31,1,2,0,2,0,1,0,4,0
"242","Kec. Indihiang ","Tasikmalaya","Jawa Barat",75,35,7,3,3,1,10,2,40,8
"243","Kec. Cipedes ","Tasikmalaya","Jawa Barat",27,0,5,0,2,0,2,0,8,0
"244","Kec. Cihideung ","Tasikmalaya","Jawa Barat",28,30,3,3,3,1,4,2,16,8
"245","Kec. Tawang ","Tasikmalaya","Jawa Barat",58,60,19,0,8,2,17,3,68,12
"246","Kec. Purbaratu ","Tasikmalaya","Jawa Barat",22,11,3,0,1,0,2,0,8,0
"247","Kec. Bungursari ","Tasikmalaya","Jawa Barat",15,4,1,0,2,1,8,0,32,0
