"","Kecamatan","Kab.Kota","Provinsi","Kelas.RusakPerc","Lab.RusakPerc","Perpus.RusakPerc","Toilet.Guru.L.RusakPerc","Toilet.Guru.P.RusakPerc","Toilet.Murid.L.RusakPerc","Toilet.Murid.P.RusakPerc"
"213","Kec. Patrol ","Indramayu","Jambi",0,NA,0,NA,NA,NA,NA
"214","Kec. Sagalaherang ","Subang","Jawa Barat",0,NA,0,0,0,0,0
"215","Kec. Jalancagak ","Subang","Jawa Barat",0,0,0,0.17,0.17,0.17,0.17
"216","Kec. Cisalak ","Subang","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"217","Kec. Tanjungsiang ","Subang","Jawa Barat",0.15,0,0,0,0,0,0
"218","Kec. Cijambe ","Subang","Jawa Barat",1,NA,1,1,1,1,1
"219","Kec. Cibogo ","Subang","Jawa Barat",NA,NA,NA,NA,NA,NA,NA
"220","Kec. Subang ","Subang","Jawa Barat",0.39,0.18,0.17,0.36,0.36,0.36,0.36
"221","Kec. Kalijati ","Subang","Jawa Barat",0,0,0,0.25,0.25,0.25,0.25
"222","Kec. Cipeundeuy ","Subang","Jawa Barat",0,0,0,0.17,0.17,0.17,0.17
"223","Kec. Pabuaran ","Subang","Jawa Barat",0.12,0,1,0,0,0,0
"224","Kec. Patokbeusi ","Subang","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"225","Kec. Purwadadi ","Subang","Jawa Barat",0,0,0,0.33,0.33,0.33,0.33
"226","Kec. Pagaden ","Subang","Jawa Barat",0.36,0.83,0.33,0,0,0,0
"227","Kec. Compreng ","Subang","Jawa Barat",0.38,0,0,NA,NA,NA,NA
"228","Kec. Binong ","Subang","Jawa Barat",0,0,0,0,0,0,0
"229","Kec. Ciasem ","Subang","Jawa Barat",0,0,0,0.25,0.25,0.25,0.25
"230","Kec. Pamanukan ","Subang","Jawa Barat",0,0,0,0.25,0.25,0.25,0.25
"231","Kec. Pusakanagara ","Subang","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"232","Kec. Blanakan ","Subang","Jawa Barat",0,0,0,NA,NA,NA,NA
"233","Kec. Serangpanjang ","Subang","Jawa Barat",0,0,0,NA,NA,NA,NA
"234","Kec. Kasomalang ","Subang","Jawa Barat",0,NA,0,NA,NA,NA,NA
"235","Kec. Cimahi Selatan ","Cimahi","Jawa Barat",0,0,0,0.08,0.08,0.08,0.08
"236","Kec. Cimahi Tengah ","Cimahi","Jawa Barat",0.01,0,0,0.05,0.05,0.05,0.05
"237","Kec. Cimahi Utara ","Cimahi","Jawa Barat",0,0,0,0.08,0.08,0.08,0.08
"238","Kec. Cibeureum ","Tasikmalaya","Jawa Barat",0,0,0,0,0,0,0
"239","Kec. Tamansari ","Tasikmalaya","Jawa Barat",0,0,0,0.25,0.25,0.25,0.25
"240","Kec. Kawalu ","Tasikmalaya","Jawa Barat",0,0,0,0.33,0.33,0.33,0.33
"241","Kec. Mangkubumi ","Tasikmalaya","Jawa Barat",0.03,0,0,0,0,0,0
"242","Kec. Indihiang ","Tasikmalaya","Jawa Barat",0.32,0.3,0.25,0.17,0.17,0.17,0.17
"243","Kec. Cipedes ","Tasikmalaya","Jawa Barat",0,0,0,0,0,0,0
"244","Kec. Cihideung ","Tasikmalaya","Jawa Barat",0.52,0.5,0.25,0.33,0.33,0.33,0.33
"245","Kec. Tawang ","Tasikmalaya","Jawa Barat",0.51,0,0.2,0.15,0.15,0.15,0.15
"246","Kec. Purbaratu ","Tasikmalaya","Jawa Barat",0.33,0,0,0,0,0,0
"247","Kec. Bungursari ","Tasikmalaya","Jawa Barat",0.21,0,0.33,0,0,0,0
"248","Kec. Banjar ","Banjar","Jawa Barat",0.04,0,0,0.33,0.33,0.33,0.33
"249","Kec. Langensari ","Banjar","Jawa Barat",0.09,0.2,0,0.25,0.25,0.25,0.25
"250","Kec. Nanggung ","Bogor","Jawa Barat",0,0,0,0.5,0.5,0.5,0.5
"251","Kec. Leuwiliang ","Bogor","Jawa Barat",0.45,0.67,0.33,0.4,0.4,0.4,0.4
"252","Kec. Pamijahan ","Bogor","Jawa Barat",0.38,0.09,0.12,0.25,0.25,0.25,0.25
"253","Kec. Cibungbulang ","Bogor","Jawa Barat",0.1,0.4,0,0.5,0.5,0.5,0.5
"254","Kec. Ciampea ","Bogor","Jawa Barat",0.2,0.67,0.5,0.5,0.5,0.5,0.5
"255","Kec. Dramaga ","Bogor","Jawa Barat",0.05,0,0,0.25,0.25,0.25,0.25
"256","Kec. Ciomas ","Bogor","Jawa Barat",0.43,0.33,0,0.5,0.5,0.5,0.5
"257","Kec. Cijeruk ","Bogor","Jawa Barat",0.05,0,0,NA,NA,NA,NA
"258","Kec. Caringin ","Bogor","Jawa Barat",0,0,0,0,0,0,0
"259","Kec. Ciawi ","Bogor","Jawa Barat",0.07,0,0,0.29,0.29,0.29,0.29
"260","Kec. Cisarua ","Bogor","Jawa Barat",0,0,0,0,0,0,0
"261","Kec. Megamendung ","Bogor","Jawa Barat",0.18,0,0,0.5,0.5,0.5,0.5
"262","Kec. Sukaraja ","Bogor","Jawa Barat",0.68,0.25,0.33,0,0,0,0
"263","Kec. Babakan Madang ","Bogor","Jawa Barat",0.67,0.48,0.56,0.43,0.43,0.43,0.43
"264","Kec. Sukamakmur ","Bogor","Jawa Barat",0.36,0.17,0.33,0.5,0.5,0.5,0.5
